Oliver Tree | Remixes - Oliver Tree | Hurt (NGHTMRE Remix)
Irene Cara | (2024) Now That's What I Call The 80s! | Fame
Ray Parker Jr. | (2024) Now That's What I Call The 80s! | Ghostbusters
Billy Ocean | (2024) Now That's What I Call The 80s! | When the Going Gets Tough, The Tough Get Going
Limahl | (2024) Now That's What I Call The 80s! | Never Ending Story
Nik Kershaw | (2024) Now That's What I Call The 80s! | The Riddle
Tears For Fears | (2024) Now That's What I Call The 80s! | Everybody Wants To Rule The World
Dave Stewart | (2024) Now That's What I Call The 80s! | It's My Party
Nena | (2024) Now That's What I Call The 80s! | 99 Red Balloons
John Lennon | (2024) Now That's What I Call The 80s! | (Just Like) Starting Over
Elton John | (2024) Now That's What I Call The 80s! | I'm Still Standing
Kenny Loggins | (2024) Now That's What I Call The 80s! | Footloose (From ''Footloose'' Soundtrack)
Billy Joel | (2024) Now That's What I Call The 80s! | Uptown Girl
Paul Simon | (2024) Now That's What I Call The 80s! | You Can Call Me Al
Dexys Midnight Runners | (2024) Now That's What I Call The 80s! | Come On Eileen
The Proclaimers | (2024) Now That's What I Call The 80s! | I'm Gonna Be (500 Miles)
Adam & The Ants | (2024) Now That's What I Call The 80s! | Stand and Deliver
ABC | (2024) Now That's What I Call The 80s! | The Look Of Love, Pt.1
Bananarama | (2024) Now That's What I Call The 80s! | Cruel Summer
Katrina & The Waves | (2024) Now That's What I Call The 80s! | Walking On Sunshine
Matthew Wilder | (2024) Now That's What I Call The 80s! | Break My Stride
Haircut 100 | (2024) Now That's What I Call The 80s! | Fantastic Day
Thompson Twins | (2024) Now That's What I Call The 80s! | Hold Me Now
King | (2024) Now That's What I Call The 80s! | Love & Pride
Specials | (2024) Now That's What I Call The 80s! | Too Much Too Young
Shakin' Stevens | (2024) Now That's What I Call The 80s! | This Ole House
Spinners | (2024) Now That's What I Call The 80s! | Working My Way Back to You
Sister Sledge | (2024) Now That's What I Call The 80s! | Frankie
Irene Cara | (2024) Now That's What I Call The 80s! | Flashdance... What A Feeling
Whitney Houston | (2024) Now That's What I Call The 80s! | I Wanna Dance with Somebody (Who Loves Me)
Chaka Khan | (2024) Now That's What I Call The 80s! | I Feel for You
Grandmaster Flash & Grandmster Melle-Mel | (2024) Now That's What I Call The 80s! | White Lines (Don't Do It)
Donna Summer | (2024) Now That's What I Call The 80s! | She Works Hard For The Money
Yazz & The Plastic Population | (2024) Now That's What I Call The 80s! | The Only Way Is Up
Soul II Soul & Caron Wheeler | (2024) Now That's What I Call The 80s! | Back To Life
Phyllis Nelson | (2024) Now That's What I Call The 80s! | Move Closer
Kim Wilde | (2024) Now That's What I Call The 80s! | You Came
Sonia | (2024) Now That's What I Call The 80s! | You'll Never Stop Me Loving You
Sinitta | (2024) Now That's What I Call The 80s! | So Macho
Dolly Parton | (2024) Now That's What I Call The 80s! | 9 to 5
Kelly Marie | (2024) Now That's What I Call The 80s! | Feels Like I'm in Love
Tight Fit | (2024) Now That's What I Call The 80s! | Fantasy Island
Bucks Fizz | (2024) Now That's What I Call The 80s! | The Land of Make Believe
Michael Jackson | (2024) Now That's What I Call The 80s! | One Day In Your Life
New Order | (2024) Now That's What I Call The 80s! | Blue Monday
Pet Shop Boys | (2024) Now That's What I Call The 80s! | Heart
Paul Hardcastle | (2024) Now That's What I Call The 80s! | 19
The Communards with Sarah Jane Morris | (2024) Now That's What I Call The 80s! | Don't Leave Me This Way
Frankie Goes To Hollywood | (2024) Now That's What I Call The 80s! | Relax
Dead Or Alive | (2024) Now That's What I Call The 80s! | You Spin Me Round (Like a Record)
Hazell Dean | (2024) Now That's What I Call The 80s! | Whatever I Do (Wherever I Go)
Kylie Minogue | (2024) Now That's What I Call The 80s! | I Should Be So Lucky
Rick Astley | (2024) Now That's What I Call The 80s! | Never Gonna Give You Up
Philip Oakley & Giorgio Moroder | (2024) Now That's What I Call The 80s! | Together In Electric Dreams
Toyah | (2024) Now That's What I Call The 80s! | Thunder In The Mountains
Altered Images | (2024) Now That's What I Call The 80s! | Happy Birthday
The Jam | (2024) Now That's What I Call The 80s! | Town Called Malice
Pretenders | (2024) Now That's What I Call The 80s! | Brass in Pocket
The Clash | (2024) Now That's What I Call The 80s! | Should I Stay or Should I Go
Robert Palmer | (2024) Now That's What I Call The 80s! | Addicted To Love
Simple Minds | (2024) Now That's What I Call The 80s! | Don't You (Forget About Me)
John Parr | (2024) Now That's What I Call The 80s! | St. Elmo's Fire (Man In Motion)
Toto | (2024) Now That's What I Call The 80s! | Africa
Foreigner | (2024) Now That's What I Call The 80s! | I Want to Know What Love Is
Bruce Springsteen | (2024) Now That's What I Call The 80s! | Dancing In the Dark
Bon Jovi | (2024) Now That's What I Call The 80s! | Livin' On A Prayer
Philip Bailey & Phil Collins | (2024) Now That's What I Call The 80s! | Easy Lover
Cher | (2024) Now That's What I Call The 80s! | If I Could Turn Back Time
ZZ Top | (2024) Now That's What I Call The 80s! | Gimme All Your Lovin'
Bonnie Tyler | (2024) Now That's What I Call The 80s! | Total Eclipse of the Heart
T'Pau | (2024) Now That's What I Call The 80s! | China In Your Hand
The Bangles | (2024) Now That's What I Call The 80s! | Manic Monday
Men At Work | (2024) Now That's What I Call The 80s! | Down Under
Blondie | (2024) Now That's What I Call The 80s! | The Tide Is High
UB40 | (2024) Now That's What I Call The 80s! | Red Red Wine
Musical Youth | (2024) Now That's What I Call The 80s! | Pass The Dutchie
Smokey Robinson | (2024) Now That's What I Call The 80s! | Being With You
Lionel Richie | (2024) Now That's What I Call The 80s! | Hello
Paul McCartney feat. Stevie Wonder | (2024) Now That's What I Call The 80s! | Ebony And Ivory
Paul Young | (2024) Now That's What I Call The 80s! | Love of the Common People
Band Aid | (2024) Now That's What I Call The 80s! | Do They Know It's Christmas
Queen | (2024) NOW That’s What I Call Rock Anthems! | Don't Stop Me Now
Def leppard | (2024) NOW That’s What I Call Rock Anthems! | Pour Some Sugar On Me
Meat loaf | (2024) NOW That’s What I Call Rock Anthems! | Bat Out of Hell
Bon jovi | (2024) NOW That’s What I Call Rock Anthems! | Livin' On A Prayer
Survivor | (2024) NOW That’s What I Call Rock Anthems! | Eye of the Tiger
Europe | (2024) NOW That’s What I Call Rock Anthems! | The Final Countdown
Run dmc | (2024) NOW That’s What I Call Rock Anthems! | Walk This Way (feat. Aerosmith)
Mot?rhead | (2024) NOW That’s What I Call Rock Anthems! | Ace of Spades
Iron maiden | (2024) NOW That’s What I Call Rock Anthems! | Can I Play with Madness (2015 Remaster)
Zz top | (2024) NOW That’s What I Call Rock Anthems! | Gimme All Your Lovin'
Kiss | (2024) NOW That’s What I Call Rock Anthems! | Crazy Crazy Nights
Gary moore & Phillip lynott | (2024) NOW That’s What I Call Rock Anthems! | Out In The Fields
Cher | (2024) NOW That’s What I Call Rock Anthems! | If I Could Turn Back Time
Billy joel | (2024) NOW That’s What I Call Rock Anthems! | We Didn't Start the Fire
John mellencamp | (2024) NOW That’s What I Call Rock Anthems! | Jack & Diane
Billy idol | (2024) NOW That’s What I Call Rock Anthems! | Rebel Yell
Pat benatar | (2024) NOW That’s What I Call Rock Anthems! | Love Is A Battlefield
Pretenders | (2024) NOW That’s What I Call Rock Anthems! | Back on the Chain Gang (2007 Remaster)
The waterboys | (2024) NOW That’s What I Call Rock Anthems! | The Whole of the Moon
Yes | (2024) NOW That’s What I Call Rock Anthems! | Wonderous Stories (2013 Remaster)
Bruce springsteen | (2024) NOW That’s What I Call Rock Anthems! | Born to Run
Paul mccartney & Wings | (2024) NOW That’s What I Call Rock Anthems! | Live And Let Die (Main Title)
The Who | (2024) NOW That’s What I Call Rock Anthems! | Baba O'Riley
Elton John | (2024) NOW That’s What I Call Rock Anthems! | The Bitch Is Back (Remastered 1995)
Status quo | (2024) NOW That’s What I Call Rock Anthems! | Rockin' All Over The World
Bachman-turner overdrive | (2024) NOW That’s What I Call Rock Anthems! | You Ain't Seen Nothing Yet
Thin lizzy | (2024) NOW That’s What I Call Rock Anthems! | The Boys Are Back In Town
Golden earring | (2024) NOW That’s What I Call Rock Anthems! | Radar Love
Emerson, lake & palmer | (2024) NOW That’s What I Call Rock Anthems! | Fanfare for the Common Man (Single Edit)
Rainbow | (2024) NOW That’s What I Call Rock Anthems! | Since You Been Gone
Judas priest | (2024) NOW That’s What I Call Rock Anthems! | Living After Midnight
